"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"ÇàÁ¤±¸¿ªº°","Æ¯¼ºº°",³ó°¡ (°¡±¸),°æ¿î±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Æ®·¢ÅÍ:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÄÞ¹ÙÀÎ:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ü¸®±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ÇÁ¶±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),ÀÌ¾Ó±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),°ú¼ö¿ø¿ëSSºÐ¹«±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),±¼»è±â:³ó°¡ (°¡±¸),´ë¼ö (´ë),Àú¿ÂÀúÀå°í:³ó°¡ (°¡±¸),¹Ù´Ú¸éÀû (§³)
"Á¾·Î±¸","³íº­",15,3,4,3,5,2,3,3,3,1,2,2,3,1,5,1,8,1,27
"Áß±¸","³íº­",9,1,1,1,1,1,1,,,1,1,,,,,,,1,13
"¿ë»ê±¸","³íº­",11,,,,,,,,,,,,,,,,,,
"¼ºµ¿±¸","³íº­",12,1,1,,,1,1,,,,,,,,,,,,
"±¤Áø±¸","³íº­",32,8,8,2,2,,,5,5,2,2,2,2,,,1,1,2,185
"µ¿´ë¹®±¸","³íº­",13,2,2,,,,,,,,,1,1,,,,,,
"Áß¶û±¸","³íº­",49,10,11,,,,,3,3,2,2,,,,,,,,
"¼ººÏ±¸","³íº­",19,1,1,,,,,,,,,,,,,,,,
"°­ºÏ±¸","³íº­",15,2,2,,,,,,,,,1,1,,,,,,
"µµºÀ±¸","³íº­",16,8,9,2,2,1,1,3,3,6,6,3,3,1,1,,,1,17
"³ë¿ø±¸","³íº­",10,6,6,4,4,1,1,1,1,2,2,1,1,,,,,,
"ÀºÆò±¸","³íº­",39,5,5,3,3,,,2,2,,,2,2,,,,,,
"¼­´ë¹®±¸","³íº­",13,2,2,1,1,1,1,2,2,1,1,1,1,,,,,,
"¸¶Æ÷±¸","³íº­",14,4,4,1,1,,,2,2,3,3,1,1,,,,,,
"¾çÃµ±¸","³íº­",68,9,10,4,4,3,3,5,5,2,2,3,3,,,,,,
"°­¼­±¸","³íº­",249,28,31,22,26,10,10,17,18,14,18,17,18,2,2,2,2,1,33
"±¸·Î±¸","³íº­",40,4,4,1,1,,,4,4,1,1,,,,,,,,
"±ÝÃµ±¸","³íº­",14,2,2,3,3,1,1,1,1,,,1,1,,,,,,
"¿µµîÆ÷±¸","³íº­",37,5,6,2,3,,,2,2,2,2,3,3,,,1,1,,
"µ¿ÀÛ±¸","³íº­",26,4,4,1,1,,,4,4,1,1,1,1,,,,,,
"°ü¾Ç±¸","³íº­",36,7,7,,,,,2,3,3,3,4,4,,,,,,
"¼­ÃÊ±¸","³íº­",43,6,6,1,1,,,2,2,2,2,2,2,,,,,1,10
"°­³²±¸","³íº­",33,5,5,2,2,1,1,4,4,,,3,3,,,,,,
"¼ÛÆÄ±¸","³íº­",63,6,7,2,2,1,1,5,7,2,2,1,1,,,,,,
"°­µ¿±¸","³íº­",29,8,8,4,4,1,1,4,4,2,2,4,4,,,,,,
"µ¿ºÎ","³íº­",1753,619,668,383,472,159,162,496,531,205,219,254,259,6,7,10,10,21,367
"À¾ºÎ","³íº­",355,237,268,105,107,74,74,116,119,70,77,119,119,2,2,5,5,18,313
"¸éºÎ","³íº­",239,157,188,89,89,55,56,73,77,50,51,100,102,4,4,5,5,5,79
"Áß±¸","³íº­",9,,,,,,,1,1,,,,,,,,,,
"¼­±¸","³íº­",13,,,,,,,,,,,,,,,,,,
"µ¿±¸","³íº­",18,2,2,1,1,1,1,1,2,1,1,,,,,,,,
"¿µµµ±¸","³íº­",14,1,1,,,,,,,,,,,,,,,,
"ºÎ»êÁø±¸","³íº­",32,6,6,5,5,2,2,7,7,4,4,2,2,1,1,,,,
"µ¿·¡±¸","³íº­",77,11,11,4,4,1,1,9,9,2,2,7,7,,,1,1,,
"³²±¸","³íº­",27,3,3,,,1,1,1,1,,,1,1,,,,,,
"ºÏ±¸","³íº­",72,12,12,5,5,3,3,6,6,3,3,1,1,,,,,1,20
"ÇØ¿î´ë±¸","³íº­",51,12,13,2,2,2,2,6,6,2,2,4,4,1,1,,,,
"»çÇÏ±¸","³íº­",139,17,18,3,3,1,1,11,11,3,3,6,6,,,,,,
"±ÝÁ¤±¸","³íº­",69,11,11,3,3,,,4,4,3,3,,,,,1,1,,
"°­¼­±¸","³íº­",1118,525,572,357,445,147,150,436,469,182,195,228,233,1,1,7,7,19,327
"¿¬Á¦±¸","³íº­",31,5,5,2,3,1,1,6,7,1,2,2,2,1,1,,,1,20
"¼ö¿µ±¸","³íº­",35,3,3,,,,,,,,,,,,,,,,
"»ç»ó±¸","³íº­",48,11,11,1,1,,,8,8,4,4,3,3,2,3,1,1,,
"±âÀå±º","³íº­",594,394,456,194,196,129,130,189,196,120,128,219,221,6,6,10,10,23,392
"µ¿ºÎ","³íº­",2190,586,610,137,142,57,57,341,346,109,111,167,167,19,20,12,12,11,140
"À¾ºÎ","³íº­",1091,424,454,133,138,63,63,231,235,78,79,195,195,7,8,7,8,4,360
"¸éºÎ","³íº­",1737,1012,1101,433,459,199,200,619,637,343,356,545,551,14,14,15,16,17,332
"Áß±¸","³íº­",28,5,5,,,,,2,2,1,1,2,2,,,,,,
"µ¿±¸","³íº­",542,206,219,45,46,17,17,122,123,35,35,55,55,9,9,7,7,4,58
"¼­±¸","³íº­",153,43,46,11,11,3,3,19,20,5,5,8,8,,,,,,
"³²±¸","³íº­",92,21,21,8,10,3,3,11,11,3,3,5,5,1,1,1,1,,
"ºÏ±¸","³íº­",402,138,142,38,39,15,15,89,89,32,32,52,52,1,1,2,2,1,10
"¼ö¼º±¸","³íº­",391,66,69,10,11,7,7,40,42,13,15,17,17,3,3,,,4,52
"´Þ¼­±¸","³íº­",582,107,108,25,25,12,12,58,59,20,20,28,28,5,6,2,2,2,20
"´Þ¼º±º","³íº­",2828,1436,1555,566,597,262,263,850,872,421,435,740,746,21,22,22,24,21,692
"µ¿ºÎ","³íº­",1436,495,513,286,305,138,144,262,266,273,311,296,304,13,15,19,19,23,372
"À¾ºÎ","³íº­",560,266,275,121,139,41,42,250,264,151,178,114,115,,,3,3,72,964
"¸éºÎ","³íº­",4693,3416,3577,2014,2240,903,914,2487,2542,2569,2810,1879,1902,29,30,81,120,1433,16300
"Áß±¸","³íº­",224,118,118,84,85,45,45,93,93,97,100,85,86,4,4,4,4,5,116
"µ¿±¸","³íº­",8,,,,,,,,,,,,,,,,,,
"³²±¸","³íº­",73,6,6,3,3,,,3,3,4,4,4,4,,,,,,
"¿¬¼ö±¸","³íº­",88,18,18,8,8,1,1,10,11,6,6,9,9,1,1,1,1,1,13
"³²µ¿±¸","³íº­",105,21,26,18,19,9,9,12,12,18,20,16,17,1,1,1,1,2,15
"ºÎÆò±¸","³íº­",206,28,31,16,17,10,10,11,11,12,15,17,18,2,3,,,,
"°è¾ç±¸","³íº­",368,172,176,91,92,42,42,71,71,83,84,93,93,,,6,6,8,117
"¼­±¸","³íº­",364,132,138,66,81,31,37,62,65,53,82,72,77,5,6,7,7,7,111
"°­È­±º","³íº­",4882,3407,3553,1939,2175,790,800,2545,2613,2434,2672,1780,1800,14,15,64,98,1348,15310
"¿ËÁø±º","³íº­",371,275,299,196,204,154,156,192,193,286,316,213,217,15,15,20,25,157,1954
"µ¿±¸","³íº­",276,32,33,8,8,4,4,13,14,4,4,10,10,,,,,,
"¼­±¸","³íº­",683,141,144,71,78,37,38,47,48,64,71,53,55,4,4,8,9,7,142
"³²±¸","³íº­",880,217,223,125,141,53,56,101,102,86,97,70,71,8,8,3,3,21,436
"ºÏ±¸","³íº­",1640,290,318,108,128,74,77,150,155,122,145,112,118,10,12,17,18,34,474
"±¤»ê±¸","³íº­",2657,849,893,395,450,179,182,315,318,357,385,288,292,23,23,30,39,91,1383
"µ¿±¸","³íº­",252,90,98,25,27,21,21,69,71,34,35,43,43,4,4,1,1,3,32
"Áß±¸","³íº­",286,63,66,17,17,9,9,46,46,35,35,23,23,1,1,3,4,1,20
"¼­±¸","³íº­",1019,192,196,79,79,33,33,135,136,93,95,82,82,3,4,,,2,20
"À¯¼º±¸","³íº­",1063,300,314,105,107,71,72,227,233,128,139,168,172,13,14,5,12,12,200
"´ë´ö±¸","³íº­",457,99,99,21,21,14,14,67,69,35,35,35,35,3,3,2,2,2,27
"µ¿ºÎ","³íº­",2045,778,834,202,205,119,121,286,288,173,175,369,372,13,14,9,9,4,142
"À¾ºÎ","³íº­",1573,887,977,352,360,219,220,312,315,298,301,516,519,7,7,10,10,21,426
"¸éºÎ","³íº­",2295,1518,1645,701,712,386,387,481,483,488,503,933,943,31,31,18,28,57,784
"Áß±¸","³íº­",423,129,137,35,35,20,20,56,57,17,17,48,48,2,2,1,1,,
"³²±¸","³íº­",583,140,142,31,31,19,19,60,60,32,32,48,48,2,2,3,3,1,19
"µ¿±¸","³íº­",62,13,14,2,2,3,3,6,7,5,6,4,4,,,,,,
"ºÏ±¸","³íº­",977,496,541,134,137,77,79,164,164,119,120,269,272,9,10,5,5,3,123
"¿ïÁÖ±º","³íº­",3868,2405,2622,1053,1072,605,607,793,798,786,804,1449,1462,38,38,28,38,78,1210
"µ¿ºÎ","³íº­",73,12,12,5,5,2,2,11,11,7,7,7,7,,,,,,
"À¾ºÎ","³íº­",292,50,51,19,21,8,8,34,34,16,17,16,16,2,2,,,1,7
"¸éºÎ","³íº­",2804,1131,1148,539,584,273,280,825,841,851,905,635,644,38,41,29,29,153,2339
"¼¼Á¾½Ã","³íº­",3169,1193,1211,563,610,283,290,870,886,874,929,658,667,40,43,29,29,154,2346
"µ¿ºÎ","³íº­",17296,4808,5068,3055,3268,1224,1250,2403,2445,2726,2919,2872,2906,117,121,130,148,177,4928
"À¾ºÎ","³íº­",12733,6212,6453,4150,4388,1556,1572,3134,3176,4137,4360,3718,3755,209,212,134,183,341,6598
"¸éºÎ","³íº­",28946,16685,17181,11691,12330,3999,4029,8689,8810,12329,13008,10001,10087,233,237,389,495,1213,21905
"¼ö¿ø½Ã","³íº­",1783,313,331,192,207,82,84,195,200,158,170,201,203,7,7,15,15,6,66
"Àå¾È±¸","³íº­",363,43,43,20,22,11,11,19,19,18,18,36,36,1,1,3,3,,
"±Ç¼±±¸","³íº­",790,181,199,112,124,46,48,115,119,107,116,112,114,2,2,9,9,5,54
"ÆÈ´Þ±¸","³íº­",370,35,35,23,23,7,7,24,24,10,10,19,19,2,2,1,1,,
"¿µÅë±¸","³íº­",260,54,54,37,38,18,18,37,38,23,26,34,34,2,2,2,2,1,12
"¼º³²½Ã","³íº­",154,41,47,13,13,6,7,15,15,20,21,14,14,1,1,,,2,43
"¼öÁ¤±¸","³íº­",76,19,19,5,5,2,2,9,9,9,9,6,6,,,,,1,33
"Áß¿ø±¸","³íº­",14,4,4,2,2,,,2,2,3,3,2,2,1,1,,,,
"ºÐ´ç±¸","³íº­",64,18,24,6,6,4,5,4,4,8,9,6,6,,,,,1,10
"ÀÇÁ¤ºÎ½Ã","³íº­",349,88,97,40,44,22,22,31,31,50,52,50,50,4,4,1,6,2,35
"¾È¾ç½Ã","³íº­",185,17,18,7,7,3,3,5,5,10,10,10,10,,,2,2,,
"¸¸¾È±¸","³íº­",45,3,3,2,2,1,1,,,1,1,2,2,,,1,1,,
"µ¿¾È±¸","³íº­",140,14,15,5,5,2,2,5,5,9,9,8,8,,,1,1,,
"ºÎÃµ½Ã","³íº­",439,50,59,34,39,12,12,33,33,25,35,29,30,1,2,,,1,9
"¿ø¹Ì±¸","³íº­",128,6,7,7,7,1,1,6,6,3,3,7,7,1,2,,,,
"¼Ò»ç±¸","³íº­",54,7,7,2,2,1,1,3,3,2,2,3,3,,,,,,
"¿ÀÁ¤±¸","³íº­",257,37,45,25,30,10,10,24,24,20,30,19,20,,,,,1,9
"±¤¸í½Ã","³íº­",166,51,52,23,23,6,6,19,20,12,12,25,25,1,1,1,1,1,10
"ÆòÅÃ½Ã","³íº­",7386,3138,3220,2475,2657,881,891,1437,1449,1834,1968,2059,2089,36,38,65,86,96,1678
"µ¿µÎÃµ½Ã","³íº­",157,65,72,37,39,9,9,23,23,38,40,31,31,,,,,1,17
"¾È»ê½Ã","³íº­",469,165,181,111,115,64,65,103,106,100,112,105,106,12,12,5,5,20,542
"»ó·Ï±¸","³íº­",303,100,109,76,79,45,46,49,50,56,59,64,65,1,1,1,1,1,198
"´Ü¿ø±¸","³íº­",166,65,72,35,36,19,19,54,56,44,53,41,41,11,11,4,4,19,344
"°í¾ç½Ã","³íº­",1812,592,628,319,358,130,136,266,274,311,369,297,307,16,16,20,21,20,787
"´ö¾ç±¸","³íº­",679,216,223,90,101,37,39,99,101,122,133,95,100,6,6,11,12,,
"ÀÏ»êµ¿±¸","³íº­",501,167,187,91,107,28,32,73,76,82,110,96,100,2,2,4,4,13,503
"ÀÏ»ê¼­±¸","³íº­",632,209,218,138,150,65,65,94,97,107,126,106,107,8,8,5,5,7,284
"°úÃµ½Ã","³íº­",52,10,11,4,4,,,1,1,2,2,1,1,1,1,,,,
"±¸¸®½Ã","³íº­",37,8,10,6,6,,,5,5,3,3,2,2,,,1,1,,
"³²¾çÁÖ½Ã","³íº­",483,224,243,97,105,35,36,99,101,151,161,113,114,12,12,5,10,31,1122
"¿À»ê½Ã","³íº­",774,245,250,192,200,88,89,137,138,164,168,158,158,4,4,5,10,6,255
"½ÃÈï½Ã","³íº­",643,257,290,130,143,55,56,86,89,139,155,148,155,10,11,2,2,9,160
"±ºÆ÷½Ã","³íº­",149,45,46,32,32,13,13,20,20,36,36,31,33,2,2,1,1,2,26
"ÀÇ¿Õ½Ã","³íº­",166,74,79,24,25,16,16,46,46,48,50,49,49,1,1,1,1,,
"ÇÏ³²½Ã","³íº­",126,56,59,16,16,3,3,16,16,18,18,17,17,,,,,,
"¿ëÀÎ½Ã","³íº­",3581,1636,1694,1004,1039,373,375,989,996,1299,1347,911,920,29,31,45,62,58,781
"Ã³ÀÎ±¸","³íº­",3077,1528,1583,965,1000,351,352,928,935,1239,1287,863,872,27,29,41,58,51,679
"±âÈï±¸","³íº­",331,67,69,19,19,10,11,41,41,34,34,24,24,1,1,,,7,102
"¼öÁö±¸","³íº­",173,41,42,20,20,12,12,20,20,26,26,24,24,1,1,4,4,,
"ÆÄÁÖ½Ã","³íº­",4634,1889,1948,1341,1469,524,540,836,857,1272,1397,1263,1279,58,60,72,91,60,1929
"ÀÌÃµ½Ã","³íº­",4950,2487,2543,1940,2035,632,632,1430,1454,1742,1823,1474,1479,95,96,68,103,147,3103
"¾È¼º½Ã","³íº­",4977,2369,2417,1740,1807,555,561,1473,1502,1679,1745,1376,1382,51,51,46,58,49,1726
"±èÆ÷½Ã","³íº­",3270,1720,1795,1012,1092,421,427,1213,1237,916,1004,980,997,30,30,29,39,91,2168
"È­¼º½Ã","³íº­",6910,3797,3987,2706,2881,1096,1107,2381,2408,3213,3380,2463,2493,87,88,98,104,247,4347
"±¤ÁÖ½Ã","³íº­",1102,569,582,320,328,95,96,230,232,471,488,322,323,3,3,1,1,40,1215
"¾çÁÖ½Ã","³íº­",1586,700,730,444,475,144,145,280,283,632,664,385,389,4,5,12,12,68,832
"Æ÷Ãµ½Ã","³íº­",2457,1282,1319,860,901,176,177,485,488,970,997,868,872,22,22,30,32,38,1684
"¿©ÁÖ½Ã","³íº­",4542,2542,2585,2058,2146,674,676,1195,1211,1706,1783,1529,1530,30,30,50,80,154,4045
"¿¬Ãµ±º","³íº­",1434,657,668,503,528,180,182,265,268,562,608,436,439,25,25,25,25,136,1892
"°¡Æò±º","³íº­",933,574,598,200,201,71,71,187,187,360,366,206,208,2,2,12,17,65,1243
"¾çÆò±º","³íº­",3269,2044,2143,1016,1051,413,414,725,736,1251,1303,1038,1043,15,15,41,41,381,3716
"µ¿ºÎ","³íº­",2909,1172,1287,479,493,219,221,632,654,465,490,690,695,9,9,14,14,58,1088
"À¾ºÎ","³íº­",5847,3254,3386,2484,2573,713,727,1594,1619,2035,2145,2447,2459,35,36,82,94,439,6155
"¸éºÎ","³íº­",9882,6720,7150,3966,4102,1541,1549,2905,2991,4077,4330,4323,4362,100,101,128,142,1222,15659
"ÃáÃµ½Ã","³íº­",1228,665,711,310,315,113,114,374,377,311,326,367,368,10,10,8,8,36,514
"¿øÁÖ½Ã","³íº­",3392,1824,1904,842,854,308,308,1090,1126,1065,1146,1106,1116,47,48,34,34,126,1858
"°­¸ª½Ã","³íº­",2273,1357,1511,681,727,270,273,624,647,590,609,875,887,15,16,16,17,57,1088
"µ¿ÇØ½Ã","³íº­",260,179,220,43,45,28,29,93,99,77,86,107,108,1,1,2,2,28,402
"ÅÂ¹é½Ã","³íº­",6,1,1,,,,,,,,,,,,,,,,
"¼ÓÃÊ½Ã","³íº­",314,165,176,71,73,35,36,71,71,91,96,85,86,1,1,1,1,9,140
"»ïÃ´½Ã","³íº­",626,389,447,157,172,113,116,197,204,218,231,211,214,1,1,9,16,67,794
"È«Ãµ±º","³íº­",1743,1164,1230,770,791,284,285,468,481,680,713,809,813,3,3,22,23,322,3864
"È¾¼º±º","³íº­",1426,970,1021,578,596,173,174,422,434,597,628,585,590,5,5,21,22,159,1978
"¿µ¿ù±º","³íº­",212,135,138,72,74,33,34,91,96,117,129,85,86,2,2,7,7,22,450
"ÆòÃ¢±º","³íº­",198,141,145,83,86,43,43,103,109,111,119,84,84,3,3,4,4,58,690
"Á¤¼±±º","³íº­",147,92,108,36,37,15,15,26,26,51,56,41,41,,,4,4,17,222
"Ã¶¿ø±º","³íº­",2828,1314,1342,1407,1462,189,199,745,755,925,993,1232,1237,8,8,43,50,180,2673
"È­Ãµ±º","³íº­",326,240,258,135,139,42,42,91,94,98,100,146,148,5,5,5,5,30,389
"¾ç±¸±º","³íº­",723,416,437,361,379,105,106,150,151,262,278,278,282,4,4,7,8,309,3584
"ÀÎÁ¦±º","³íº­",522,278,285,174,178,57,57,83,83,168,182,181,182,15,15,6,6,69,1133
"°í¼º±º","³íº­",1291,925,961,722,746,393,393,250,257,573,620,668,670,14,14,21,29,139,1758
"¾ç¾ç±º","³íº­",1123,891,928,487,494,272,273,253,254,643,653,600,604,10,10,14,14,91,1365
"µ¿ºÎ","³íº­",5564,1024,1052,506,556,248,253,708,738,615,688,534,545,18,18,24,29,65,1281
"À¾ºÎ","³íº­",5923,2644,2711,1170,1238,541,545,1651,1721,1808,1987,1358,1372,40,41,53,63,215,4256
"¸éºÎ","³íº­",15261,9101,9358,3705,3843,1591,1603,5705,5907,6922,7466,4081,4108,181,183,172,206,1010,16547
"ÃæÁÖ½Ã","³íº­",3499,1712,1764,767,818,281,283,1061,1114,1262,1419,706,719,79,79,38,43,129,3261
